// Creator: RBR Ltd.
// Create time: 2026-07-20T06:51:38
// Instrument model firmware and serialID: RBRconcerto³ 1.160 241494
// Sample period: 0.5 second
// Processing history:
//	C:\Users\Domeau\Documents\MEDIMEER\Python\Somlit_rbr_toolbox\proc_data\rbr_concerto_profile_1_2026-06-02T07-17-15_to_2026-06-02T07-22-08.rsk opened using pyRSKtools v1.3.0.
//	Sea pressure calculated using an atmospheric pressure of 10.1325 dbar.
//	Zero-order hold corrected for channel(s) conductivity, temperature, pressure, par, sea_pressure, depth, salinity, speed_of_sound, specific_conductivity. Hold points were treated with interp.
//	Channel temperature aligned using lag(s) -0.045,-0.045 and shiftfill zeroorderhold
//	Depth calculated using the TEOS-10 library and a latitude of 49.3188 degrees
//	Profiling velocity calculated from depth, filtered with a windowLength of 3 samples.
//	Practical Salinity derived using TEOS-10 library
//	Potential density anomal derived using the TEOS-10 library.
//	Remove loops with the threshold of 0.05 m/s.
//	Binned with respect to depth using [30.625  0.75 ] boundaries with [0.25] m bin size.
// Comment: up CAST

// timestamp(yyyy-mm-ddTHH:MM:ss.FFF),    conductivity(mS/cm),    temperature(°C),    par(µmol/m²/s),    depth(m),    salinity(PSU),    density_anomaly(kg/m³),    cast_direction
2026-06-02T07:21:14.000,    nan,    nan,    nan,    1.0,    nan,    nan,    d
2026-06-02T07:21:14.000,    nan,    nan,    nan,    2.25,    nan,    nan,    d
2026-06-02T07:21:14.000,    nan,    nan,    nan,    3.5,    nan,    nan,    d
2026-06-02T07:21:14.000,    nan,    nan,    nan,    4.0,    nan,    nan,    d
2026-06-02T07:21:14.000,    nan,    nan,    nan,    5.25,    nan,    nan,    d
2026-06-02T07:21:14.000,    nan,    nan,    nan,    6.0,    nan,    nan,    d
2026-06-02T07:21:14.000,    nan,    nan,    nan,    7.75,    nan,    nan,    d
2026-06-02T07:21:14.000,    nan,    nan,    nan,    9.0,    nan,    nan,    d
2026-06-02T07:21:14.000,    nan,    nan,    nan,    10.25,    nan,    nan,    d
2026-06-02T07:21:14.000,    nan,    nan,    nan,    11.25,    nan,    nan,    d
2026-06-02T07:21:14.000,    nan,    nan,    nan,    12.0,    nan,    nan,    d
2026-06-02T07:21:14.000,    nan,    nan,    nan,    13.75,    nan,    nan,    d
2026-06-02T07:21:14.000,    nan,    nan,    nan,    14.5,    nan,    nan,    d
2026-06-02T07:21:14.000,    nan,    nan,    nan,    15.5,    nan,    nan,    d
2026-06-02T07:21:14.000,    nan,    nan,    nan,    17.0,    nan,    nan,    d
2026-06-02T07:21:14.000,    nan,    nan,    nan,    18.75,    nan,    nan,    d
2026-06-02T07:21:14.000,    nan,    nan,    nan,    19.75,    nan,    nan,    d
2026-06-02T07:21:14.000,    nan,    nan,    nan,    21.0,    nan,    nan,    d
2026-06-02T07:21:14.000,    nan,    nan,    nan,    22.25,    nan,    nan,    d
2026-06-02T07:21:14.000,    nan,    nan,    nan,    23.5,    nan,    nan,    d
2026-06-02T07:21:14.000,    nan,    nan,    nan,    25.5,    nan,    nan,    d
2026-06-02T07:21:14.000,    nan,    nan,    nan,    27.0,    nan,    nan,    d
2026-06-02T07:21:14.000,    nan,    nan,    nan,    28.25,    nan,    nan,    d
2026-06-02T07:21:14.000,    nan,    nan,    nan,    30.0,    nan,    nan,    d
2026-06-02T07:21:14.000,    nan,    nan,    nan,    30.5,    nan,    nan,    d
2026-06-02T07:22:06.000,    49.94895935058594,    19.151428531040438,    0.008246324025094509,    0.75,    37.42445838583497,    26.838691283905746,    u
2026-06-02T07:21:14.000,    nan,    nan,    nan,    1.0,    nan,    nan,    u
2026-06-02T07:22:05.500,    49.96017837524414,    19.133706667693332,    0.007162295747548342,    1.25,    37.44979415365321,    26.86269086335551,    u
2026-06-02T07:22:05.000,    49.85333251953125,    19.10867462551687,    0.00897098146378994,    1.5,    37.382134660600336,    26.81749107224482,    u
2026-06-02T07:22:04.500,    50.22509765625,    19.046312876278535,    0.005717097781598568,    1.75,    37.75280623684518,    27.117142038619022,    u
2026-06-02T07:22:04.000,    50.22653579711914,    18.990970162092708,    0.007163730449974537,    2.0,    37.804534691176094,    27.17108979530485,    u
2026-06-02T07:21:14.000,    nan,    nan,    nan,    2.25,    nan,    nan,    u
2026-06-02T07:22:03.500,    49.98061752319336,    18.878082598675974,    0.003949341829866171,    2.5,    37.69892343392854,    27.11957747166275,    u
2026-06-02T07:22:03.000,    49.98060989379883,    18.763398760114796,    0.008249050006270409,    2.75,    37.80381247018901,    27.22944183868026,    u
2026-06-02T07:22:02.500,    49.89828872680664,    18.52439090749249,    0.003909791819751263,    3.0,    37.953621885945424,    27.40549589557145,    u
2026-06-02T07:22:02.000,    49.87088394165039,    18.067154003540054,    0.013311166316270828,    3.25,    38.35650391740466,    27.83040103263579,    u
2026-06-02T07:21:14.000,    nan,    nan,    nan,    3.5,    nan,    nan,    u
2026-06-02T07:22:01.500,    49.448028564453125,    17.570891799638048,    0.006440342403948307,    3.75,    38.45752771888964,    28.03225622468608,    u
2026-06-02T07:21:14.000,    nan,    nan,    nan,    4.0,    nan,    nan,    u
2026-06-02T07:22:01.000,    49.22808074951172,    17.31158664484974,    0.005716678220778704,    4.25,    38.51138047778598,    28.137778473352,    u
2026-06-02T07:22:00.500,    48.48500442504883,    17.205006728181615,    0.004631281830370426,    4.5,    37.95799058032625,    27.739079463462076,    u
2026-06-02T07:22:00.000,    48.4348030090332,    17.09794893010985,    0.00390741927549243,    4.75,    38.01476687436244,    27.808821070362683,    u
2026-06-02T07:21:59.500,    48.437068939208984,    16.979777850210667,    0.0064378706738352776,    5.0,    38.12873431336199,    27.92511864347398,    u
2026-06-02T07:21:14.000,    nan,    nan,    nan,    5.25,    nan,    nan,    u
2026-06-02T07:21:59.000,    48.28752899169922,    16.87349519424606,    0.00824509933590889,    5.5,    38.09707653560693,    27.926572971434325,    u
2026-06-02T07:21:58.500,    48.13963317871094,    16.81375092396047,    0.007159448694437742,    5.75,    38.022386593939046,    27.883629463995703,    u
2026-06-02T07:21:14.000,    nan,    nan,    nan,    6.0,    nan,    nan,    u
2026-06-02T07:21:58.000,    48.08573532104492,    16.784699405892752,    0.005712198093533516,    6.25,    38.00193660230567,    27.87493397547155,    u
2026-06-02T07:21:57.500,    48.06352996826172,    16.765155642526224,    0.008242473006248474,    6.5,    38.00064450953525,    27.878660170477133,    u
2026-06-02T07:21:57.000,    48.0350227355957,    16.73238251253497,    0.010772714391350746,    6.75,    38.00633676557321,    27.89093168014574,    u
2026-06-02T07:21:56.500,    48.05241775512695,    16.673794870148413,    0.007155729923397303,    7.0,    38.07753435570063,    27.95974442162924,    u
2026-06-02T07:21:56.000,    48.04340744018555,    16.58860169793479,    0.008962661027908325,    7.25,    38.15076062589052,    28.03647923011863,    u
2026-06-02T07:21:55.500,    47.974273681640625,    16.520483713713475,    0.005707143805921078,    7.5,    38.15404995137235,    28.05531289378473,    u
2026-06-02T07:21:14.000,    nan,    nan,    nan,    7.75,    nan,    nan,    u
2026-06-02T07:21:55.000,    47.8196907043457,    16.474397284560837,    0.008237197995185852,    8.0,    38.05970971867145,    27.993771924700695,    u
2026-06-02T07:21:54.500,    47.703826904296875,    16.452655032277107,    0.005704815499484539,    8.25,    37.976659543978,    27.935090588218372,    u
2026-06-02T07:21:54.000,    47.69774627685547,    16.426430973340757,    0.008957970887422562,    8.5,    37.99614400558339,    27.956323708552873,    u
2026-06-02T07:21:53.500,    47.685813903808594,    16.40404388762545,    0.0107647143304348,    8.75,    38.006700921934474,    27.96977753730721,    u
2026-06-02T07:21:14.000,    nan,    nan,    nan,    9.0,    nan,    nan,    u
2026-06-02T07:21:53.000,    47.68912124633789,    16.382351687876508,    0.010040145367383957,    9.25,    38.030248526518506,    27.993056628281465,    u
2026-06-02T07:21:52.500,    47.66458511352539,    16.35290832980536,    0.007145974785089493,    9.5,    38.0362586906521,    28.0046816504871,    u
2026-06-02T07:21:52.000,    47.59306335449219,    16.30203430983238,    0.0056981611996889114,    9.75,    38.02062230468028,    28.004720005784748,    u
2026-06-02T07:21:51.500,    47.55497741699219,    16.237786264857277,    0.010035885497927666,    10.0,    38.04783726928425,    28.040861854701234,    u
2026-06-02T07:21:14.000,    nan,    nan,    nan,    10.25,    nan,    nan,    u
2026-06-02T07:21:51.000,    47.451881408691406,    16.16230897163041,    0.010757530108094215,    10.5,    38.02730955071031,    28.042878181800234,    u
2026-06-02T07:21:50.500,    47.35816192626953,    16.06653108180035,    0.008224761113524437,    10.75,    38.03464921873926,    28.07105337688631,    u
2026-06-02T07:21:50.000,    47.271549224853516,    15.984840405290015,    0.00713831651955843,    11.0,    38.034811422807536,    28.090330370400352,    u
2026-06-02T07:21:14.000,    nan,    nan,    nan,    11.25,    nan,    nan,    u
2026-06-02T07:21:49.500,    47.16164779663086,    15.913674021954648,    0.010752718895673752,    11.5,    38.00368764848449,    28.08300361753618,    u
2026-06-02T07:21:49.000,    47.09483337402344,    15.8623318556929,    0.007135006133466959,    11.75,    37.992413645988044,    28.086298965347396,    u
2026-06-02T07:21:14.000,    nan,    nan,    nan,    12.0,    nan,    nan,    u
2026-06-02T07:21:48.500,    47.042266845703125,    15.831774906720966,    0.005686839111149311,    12.25,    37.97400716563039,    28.079245537084944,    u
2026-06-02T07:21:48.000,    47.02230453491211,    15.816279604216106,    0.007131496910005808,    12.5,    37.970688203820686,    28.080301508579396,    u
2026-06-02T07:21:47.500,    47.0330810546875,    15.811975403339602,    0.006406486500054598,    12.75,    37.984510831859666,    28.091956202737947,    u
2026-06-02T07:21:47.000,    47.039337158203125,    15.80453888059128,    0.007127877324819565,    13.0,    37.99725519744262,    28.103507836505514,    u
2026-06-02T07:21:46.500,    47.048606872558594,    15.783254703157581,    0.008210801519453526,    13.25,    38.02607922628052,    28.130661000573355,    u
2026-06-02T07:21:46.000,    47.04050064086914,    15.737396857934073,    0.008208914659917355,    13.5,    38.06286417046145,    28.169644172057815,    u
2026-06-02T07:21:14.000,    nan,    nan,    nan,    13.75,    nan,    nan,    u
2026-06-02T07:21:45.500,    46.97306442260742,    15.674938059062697,    0.008206917904317379,    14.0,    38.06175153786981,    28.18325801703031,    u
2026-06-02T07:21:45.000,    46.92230224609375,    15.60401093622204,    0.008928153663873672,    14.25,    38.08403849092881,    28.216819007390313,    u
2026-06-02T07:21:14.000,    nan,    nan,    nan,    14.5,    nan,    nan,    u
2026-06-02T07:21:44.500,    46.8505744934082,    15.53474671463482,    0.008202922530472279,    14.75,    38.08557576613196,    28.233967960119116,    u
2026-06-02T07:21:44.000,    46.79399108886719,    15.477685250225477,    0.008200859650969505,    15.0,    38.0890719253262,    28.249785831847703,    u
2026-06-02T07:21:43.500,    46.68156051635742,    15.44055298389867,    0.00892200693488121,    15.25,    38.02208041895126,    28.206673610400003,    u
2026-06-02T07:21:14.000,    nan,    nan,    nan,    15.5,    nan,    nan,    u
2026-06-02T07:21:43.000,    46.6392707824707,    15.377309275208972,    0.006388697773218155,    15.75,    38.044633659339674,    28.238536744489693,    u
2026-06-02T07:21:42.500,    46.62282180786133,    15.330656134756282,    0.007109757512807846,    16.0,    38.074794202224325,    28.272451697570432,    u
2026-06-02T07:21:42.000,    46.58831024169922,    15.308522952254862,    0.010723641142249107,    16.25,    38.06451059843787,    28.26958094409565,    u
2026-06-02T07:21:41.500,    46.572086334228516,    15.300150452763774,    0.009998255409300327,    16.5,    38.0576215685939,    28.266188163898278,    u
2026-06-02T07:21:41.000,    46.568721771240234,    15.287752382340841,    0.008911280892789364,    16.75,    38.066474251821745,    28.275848708444983,    u
2026-06-02T07:21:14.000,    nan,    nan,    nan,    17.0,    nan,    nan,    u
2026-06-02T07:21:40.500,    46.566497802734375,    15.267872927943245,    0.006377905607223511,    17.25,    38.083642672024894,    28.293625738160245,    u
2026-06-02T07:21:40.000,    46.547813415527344,    15.24599884368945,    0.009991668164730072,    17.5,    38.08762667334043,    28.301686805404643,    u
2026-06-02T07:21:39.500,    46.52166748046875,    15.241130371578038,    0.0063734473660588264,    17.75,    38.06820795098977,    28.287827760664868,    u
2026-06-02T07:21:39.000,    46.5212287902832,    15.235623780172318,    0.011433599516749382,    18.0,    38.07308799498029,    28.292849547270407,    u
2026-06-02T07:21:38.500,    46.52461624145508,    15.232885742560029,    0.008900124579668045,    18.25,    38.0787646285319,    28.297858440136906,    u
2026-06-02T07:21:38.000,    46.52098846435547,    15.239275511587039,    0.008897851221263409,    18.5,    38.069060935334555,    28.288934063726856,    u
2026-06-02T07:21:14.000,    nan,    nan,    nan,    18.75,    nan,    nan,    u
2026-06-02T07:21:37.500,    46.546627044677734,    15.255675351363607,    0.00889552291482687,    19.0,    38.076511855162124,    28.290963039744156,    u
2026-06-02T07:21:37.000,    46.576019287109375,    15.262314757448621,    0.0038308019284158945,    19.25,    38.09691781247998,    28.30520083559304,    u
2026-06-02T07:21:36.500,    46.59355545043945,    15.252680970937945,    0.008167676627635956,    19.5,    38.122278385767245,    28.32696316677584,    u
2026-06-02T07:21:14.000,    nan,    nan,    nan,    19.75,    nan,    nan,    u
2026-06-02T07:21:36.000,    46.613529205322266,    15.22224121587351,    0.008888470940291882,    20.0,    38.170202113448006,    28.37085966349673,    u
2026-06-02T07:21:35.500,    46.590606689453125,    15.189559331163764,    0.008162843063473701,    20.25,    38.18090388779032,    28.38655012251047,    u
2026-06-02T07:21:35.000,    46.53435134887695,    15.148957525845617,    0.008883615955710411,    20.5,    38.16865713383259,    28.38632383149161,    u
2026-06-02T07:21:34.500,    46.48287582397461,    15.0945510949241,    0.010689123533666134,    20.75,    38.17429965388837,    28.40300505786672,    u
2026-06-02T07:21:14.000,    nan,    nan,    nan,    21.0,    nan,    nan,    u
2026-06-02T07:21:34.000,    46.37997055053711,    15.055546880699694,    0.008155405521392822,    21.25,    38.117344038560105,    28.36788514059208,    u
2026-06-02T07:21:33.500,    46.35539627075195,    15.019054265809245,    0.007068055681884289,    21.5,    38.13023407819533,    28.38607184618536,    u
2026-06-02T07:21:33.000,    46.33665466308594,    14.975065314443782,    0.008150328882038593,    21.75,    38.15585920482093,    28.415764850824416,    u
2026-06-02T07:21:32.500,    46.30195999145508,    14.950988162541762,    0.007062968332320452,    22.0,    38.147197926459505,    28.414509063703235,    u
2026-06-02T07:21:14.000,    nan,    nan,    nan,    22.25,    nan,    nan,    u
2026-06-02T07:21:32.000,    46.28388977050781,    14.943173218751326,    0.004529151134192944,    22.5,    38.13796539733624,    28.409153472980506,    u
2026-06-02T07:21:31.500,    46.28750228881836,    14.936653443379328,    0.008142582140862942,    22.75,    38.14756451136435,    28.418037821833423,    u
2026-06-02T07:21:31.000,    46.28038787841797,    14.922707826946862,    0.008863179013133049,    23.0,    38.15453966770976,    28.42656294102403,    u
2026-06-02T07:21:30.500,    46.2772102355957,    14.909833986312151,    0.008860552683472633,    23.25,    38.16411247515803,    28.436851133330038,    u
2026-06-02T07:21:14.000,    nan,    nan,    nan,    23.5,    nan,    nan,    u
2026-06-02T07:21:30.000,    46.269100189208984,    14.895555727300234,    0.0045187342911958694,    23.75,    38.17046700902187,    28.444971685856217,    u
2026-06-02T07:21:29.500,    46.25275802612305,    14.887536011869088,    0.009940122254192829,    24.0,    38.16304285964563,    28.441051881563,    u
2026-06-02T07:21:29.000,    46.246917724609375,    14.883844299823977,    0.010660652071237564,    24.25,    38.16111583799833,    28.440403084322725,    u
2026-06-02T07:21:28.500,    46.24647903442383,    14.880129089928232,    0.00885000266134739,    24.5,    38.164240261015756,    28.443656954599646,    u
2026-06-02T07:21:28.000,    46.240413665771484,    14.876597595750354,    0.008124131709337234,    24.75,    38.16198405737049,    28.44271495055773,    u
2026-06-02T07:21:27.250,    46.239789962768555,    14.876524810737465,    0.008481720928102732,    25.0,    38.16137469315467,    28.44226893094583,    u
2026-06-02T07:21:26.250,    46.23967742919922,    14.876501770108007,    0.009922736790031195,    25.25,    38.16119764312439,    28.44214489834269,    u
2026-06-02T07:21:14.000,    nan,    nan,    nan,    25.5,    nan,    nan,    u
2026-06-02T07:21:25.500,    46.239688873291016,    14.875518493703566,    0.008110679686069489,    25.75,    38.16196482315132,    28.442973853450667,    u
2026-06-02T07:21:25.000,    46.24256896972656,    14.875571594224311,    0.009915955364704132,    26.0,    38.16443856458487,    28.444882766065803,    u
2026-06-02T07:21:24.500,    46.24153137207031,    14.875496521010064,    0.009913251735270023,    26.25,    38.16344836384556,    28.44414323004412,    u
2026-06-02T07:21:24.000,    46.244728088378906,    14.87471069348976,    0.009910525754094124,    26.5,    38.16708430220749,    28.447133797441666,    u
2026-06-02T07:21:23.500,    46.23995590209961,    14.873800659319386,    0.007014987524598837,    26.75,    38.16341020198671,    28.444512893275032,    u
2026-06-02T07:21:14.000,    nan,    nan,    nan,    27.0,    nan,    nan,    u
2026-06-02T07:21:23.000,    46.240264892578125,    14.872996215941384,    0.01062825322151184,    27.25,    38.164323484053675,    28.445410945887716,    u
2026-06-02T07:21:22.500,    46.242034912109375,    14.87175842304714,    0.006286313757300377,    27.5,    38.16703068073396,    28.44778980506203,    u
2026-06-02T07:21:22.000,    46.24092102050781,    14.870504455757327,    0.007006755098700523,    27.75,    38.16709182838417,    28.448128803198415,    u
2026-06-02T07:21:21.500,    46.239131927490234,    14.870489044173155,    0.0062807961367070675,    28.0,    38.16531188893132,    28.446768944129644,    u
2026-06-02T07:21:14.000,    nan,    nan,    nan,    28.25,    nan,    nan,    u
2026-06-02T07:21:20.750,    46.2430534362793,    14.870392379787518,    0.008084642700850964,    28.5,    38.16889435811811,    28.44956763450341,    u
2026-06-02T07:21:19.750,    46.24028968811035,    14.871628875553142,    0.008079075254499912,    28.75,    38.16498521033458,    28.44628332603736,    u
2026-06-02T07:21:19.000,    46.24185562133789,    14.874274902045727,    0.006266913842409849,    29.0,    38.163745388130835,    28.444740571739203,    u
2026-06-02T07:21:18.250,    46.248294830322266,    14.875230865378398,    0.007709088269621134,    29.25,    38.168622877777366,    28.448303359916167,    u
2026-06-02T07:21:17.000,    46.24898147583008,    14.880678608819531,    0.008545792972048124,    29.5,    38.16384000895357,    28.443395690316265,    u
2026-06-02T07:21:16.000,    46.255062103271484,    14.87990142882336,    0.013120434246957302,    29.75,    38.170084928929356,    28.448402592308867,    u
2026-06-02T07:21:14.000,    nan,    nan,    nan,    30.0,    nan,    nan,    u
2026-06-02T07:21:15.000,    46.251380920410156,    14.87638875345389,    0.0075702255902191,    30.25,    38.16993478330108,    28.44908879696095,    u
2026-06-02T07:21:14.000,    nan,    nan,    nan,    30.5,    nan,    nan,    u
