// Creator: RBR Ltd.
// Create time: 2026-01-12T08:45:48
// Instrument model firmware and serialID: RBRmaestro³ 1.148 231853
// Sample period: 0.5 second
// Processing history:
//	/home/epoirier/Documents/Observation/SOMLIT/Somlit_rbr_toolbox/proc_data/rbr_maestro_profile_1_2025-10-16T08-33-18_to_2025-10-16T08-41-30.rsk opened using pyRSKtools v1.1.2.
//	Sea pressure calculated using an atmospheric pressure of 10.1325 dbar.
//	Zero-order hold corrected for channel(s) conductivity, temperature, pressure, temperature1, dissolved_o2_concentration, par, ph, chlorophyll-a, fdom, turbidity, sea_pressure, depth, salinity, speed_of_sound, specific_conductivity, dissolved_o2_saturation. Hold points were treated with interp.
//	Channel temperature aligned using lag(s) -0.045,-0.045 and shiftfill zeroorderhold
//	Depth calculated using the TEOS-10 library and a latitude of 48.35 degrees
//	Profiling velocity calculated from depth, filtered with a windowLength of 3 samples.
//	Practical Salinity derived using TEOS-10 library
//	Potential density anomaly derived using the TEOS-10 library.
//	dissolved_o2_compensated (µmol/L) added to data table by RSK.addchannel().
//	temperature1_compensated (°C) added to data table by RSK.addchannel().
//	Remove loops with the threshold of 0.05 m/s.
//	Binned with respect to depth using [0.625 5.75 ] boundaries with [0.25] m bin size.
// Comment: down CAST

// timestamp(yyyy-mm-ddTHH:MM:ss.FFF),    conductivity(mS/cm),    temperature(°C),    temperature1(°C),    dissolved_o2_concentration(µmol/L),    par(µmol/m²/s),    ph(pH_units),    chlorophyll-a(µg/L),    fdom(ppb),    turbidity(FTU),    depth(m),    salinity(PSU),    density_anomaly(kg/m³),    cast_direction
2025-10-16T08:33:18.000,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    0.75,    nan,    nan,    d
2025-10-16T08:33:18.000,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    1.0,    nan,    nan,    d
2025-10-16T08:33:18.000,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    1.25,    nan,    nan,    d
2025-10-16T08:36:11.500,    44.11032485961914,    15.922976684523746,    15.921699523925781,    278.0950622558594,    154.6494903564453,    9.923408508300781,    1.159000039100647,    2.7195000648498535,    1.0670499801635742,    1.5,    35.251697141649466,    25.962667317370915,    d
2025-10-16T08:36:12.500,    44.111226399739586,    15.919806314787516,    15.919999599456787,    278.3687337239583,    239.7527109781901,    9.922859191894531,    1.2056667407353718,    2.739333470662435,    1.3712499539057414,    1.75,    35.25525883950105,    25.966137572292155,    d
2025-10-16T08:36:13.750,    44.111488342285156,    15.916362609830685,    15.920549631118774,    279.9587097167969,    274.3419418334961,    9.92477035522461,    1.1162500381469727,    2.7005001306533813,    1.1207749843597412,    2.0,    35.25847096328965,    25.969403279470498,    d
2025-10-16T08:36:14.750,    44.1142635345459,    15.915762023883872,    15.921824932098389,    279.58221435546875,    217.99919891357422,    9.924724578857422,    1.1732500195503235,    2.636000156402588,    1.0194249749183655,    2.25,    35.261408272014464,    25.971807106127585,    d
2025-10-16T08:36:15.750,    44.1141300201416,    15.914850005938206,    15.921799659729004,    278.85130310058594,    195.4647674560547,    9.924412727355957,    1.1422500610351562,    2.685750126838684,    1.0615249872207642,    2.5,    35.26200914859304,    25.972485951054978,    d
2025-10-16T08:36:17.000,    44.11466979980469,    15.912952168728225,    15.919399579366049,    279.271728515625,    180.19485473632812,    9.92602793375651,    1.2643333673477173,    2.6730000972747803,    1.0147666533788045,    2.75,    35.264060844007254,    25.97450868623173,    d
2025-10-16T08:36:18.500,    44.11725870768229,    15.912518717503795,    15.918999195098877,    279.65687052408856,    161.50261433919272,    9.925540606180826,    1.149166742960612,    2.69350004196167,    1.0791500012079875,    3.0,    35.26665809068974,    25.97661497804999,    d
2025-10-16T08:36:19.750,    44.12049865722656,    15.913731842127163,    15.919899225234985,    279.62425231933594,    147.11051177978516,    9.926416873931885,    1.230000078678131,    2.712750196456909,    1.0680999755859375,    3.25,    35.26838285506988,    25.977672857571747,    d
2025-10-16T08:36:21.250,    44.122836112976074,    15.914606933598407,    15.920524835586548,    279.13358306884766,    148.5902328491211,    9.92690134048462,    1.219750076532364,    2.704500138759613,    1.0216625034809113,    3.5,    35.26959136029515,    25.978411740609204,    d
