// Creator: RBR Ltd.
// Create time: 2026-01-12T08:45:48
// Instrument model firmware and serialID: RBRmaestro³ 1.148 231853
// Sample period: 0.5 second
// Processing history:
//	/home/epoirier/Documents/Observation/SOMLIT/Somlit_rbr_toolbox/proc_data/rbr_maestro_profile_1_2025-10-16T08-33-18_to_2025-10-16T08-41-30.rsk opened using pyRSKtools v1.1.2.
//	Sea pressure calculated using an atmospheric pressure of 10.1325 dbar.
//	Zero-order hold corrected for channel(s) conductivity, temperature, pressure, temperature1, dissolved_o2_concentration, par, ph, chlorophyll-a, fdom, turbidity, sea_pressure, depth, salinity, speed_of_sound, specific_conductivity, dissolved_o2_saturation. Hold points were treated with interp.
//	Channel temperature aligned using lag(s) -0.045,-0.045 and shiftfill zeroorderhold
//	Depth calculated using the TEOS-10 library and a latitude of 48.35 degrees
//	Profiling velocity calculated from depth, filtered with a windowLength of 3 samples.
//	Practical Salinity derived using TEOS-10 library
//	Potential density anomaly derived using the TEOS-10 library.
//	dissolved_o2_compensated (µmol/L) added to data table by RSK.addchannel().
//	temperature1_compensated (°C) added to data table by RSK.addchannel().
//	Remove loops with the threshold of 0.05 m/s.
//	Binned with respect to depth using [6.625 0.75 ] boundaries with [0.25] m bin size.
// Comment: up CAST

// timestamp(yyyy-mm-ddTHH:MM:ss.FFF),    conductivity(mS/cm),    temperature(°C),    temperature1(°C),    dissolved_o2_concentration(µmol/L),    par(µmol/m²/s),    ph(pH_units),    chlorophyll-a(µg/L),    fdom(ppb),    turbidity(FTU),    depth(m),    salinity(PSU),    density_anomaly(kg/m³),    cast_direction
2025-10-16T08:36:42.000,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    6.0,    nan,    nan,    d
2025-10-16T08:36:42.000,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    6.25,    nan,    nan,    d
2025-10-16T08:36:42.000,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    6.5,    nan,    nan,    d
2025-10-16T08:41:22.750,    44.072296142578125,    15.89892250057892,    15.904086828231812,    279.162353515625,    418.5092544555664,    9.9320068359375,    1.0323750674724579,    2.7438750863075256,    1.0163749605417252,    0.75,    35.23943493373059,    25.95869922008802,    u
2025-10-16T08:41:19.750,    44.08263969421387,    15.901327438274166,    15.905268251895905,    279.2897300720215,    221.8106288909912,    9.933181881904602,    1.0790000557899475,    2.7612501084804535,    1.0451999753713608,    1.0,    35.24646118590483,    25.963562744687323,    u
2025-10-16T08:41:16.750,    44.095181465148926,    15.903181610105094,    15.906599760055542,    279.46117401123047,    160.8780746459961,    9.934556722640991,    1.1116250604391098,    2.8751251697540283,    1.0352374613285065,    1.25,    35.255914953573466,    25.97042193892969,    u
2025-10-16T08:41:14.500,    44.10318222045898,    15.903593933093362,    15.908639621734618,    279.565771484375,    289.87550659179686,    9.935302734375,    1.0707000374794007,    2.8507001876831053,    1.053909993171692,    1.5,    35.262623061963176,    25.975495337271514,    u
2025-10-16T08:41:12.250,    44.110857009887695,    15.904910354554886,    15.908361911773682,    279.03031158447266,    258.6824645996094,    9.935278177261353,    1.0877500772476196,    2.7622501850128174,    1.0064499825239182,    1.75,    35.26823343149426,    25.97951786341747,    u
2025-10-16T08:41:10.000,    44.1177261352539,    15.905088073736987,    15.908699703216552,    279.5390380859375,    240.03347778320312,    9.935394668579102,    1.0887000560760498,    2.739000082015991,    1.035219955444336,    2.0,    35.274126839450716,    25.98401915194836,    u
2025-10-16T08:41:07.500,    44.0731918334961,    15.905058776843362,    15.908729648590088,    280.2591125488281,    239.43085327148438,    9.935260009765624,    1.1707000732421875,    2.7578001022338867,    0.9930699825286865,    2.25,    35.23417040836897,    25.953302547792145,    u
