// Creator: RBR Ltd.
// Create time: 2026-01-12T08:45:51
// Instrument model firmware and serialID: RBRmaestro³ 1.148 231853
// Sample period: 0.5 second
// Processing history:
//	/home/epoirier/Documents/Observation/SOMLIT/Somlit_rbr_toolbox/proc_data/rbr_maestro_profile_2_2025-10-16T12-53-24_to_2025-10-16T13-00-18.rsk opened using pyRSKtools v1.1.2.
//	Sea pressure calculated using an atmospheric pressure of 10.1325 dbar.
//	Zero-order hold corrected for channel(s) conductivity, temperature, pressure, temperature1, dissolved_o2_concentration, par, ph, chlorophyll-a, fdom, turbidity, sea_pressure, depth, salinity, speed_of_sound, specific_conductivity, dissolved_o2_saturation. Hold points were treated with interp.
//	Channel temperature aligned using lag(s) -0.045,-0.045 and shiftfill zeroorderhold
//	Depth calculated using the TEOS-10 library and a latitude of 48.35 degrees
//	Profiling velocity calculated from depth, filtered with a windowLength of 3 samples.
//	Practical Salinity derived using TEOS-10 library
//	Potential density anomaly derived using the TEOS-10 library.
//	dissolved_o2_compensated (µmol/L) added to data table by RSK.addchannel().
//	temperature1_compensated (°C) added to data table by RSK.addchannel().
//	Remove loops with the threshold of 0.05 m/s.
//	Binned with respect to depth using [0.625 8.   ] boundaries with [0.25] m bin size.
// Comment: down CAST

// timestamp(yyyy-mm-ddTHH:MM:ss.FFF),    conductivity(mS/cm),    temperature(°C),    temperature1(°C),    dissolved_o2_concentration(µmol/L),    par(µmol/m²/s),    ph(pH_units),    chlorophyll-a(µg/L),    fdom(ppb),    turbidity(FTU),    depth(m),    salinity(PSU),    density_anomaly(kg/m³),    cast_direction
2025-10-16T12:53:40.750,    44.261924743652344,    16.039582671655808,    16.038898944854736,    291.8169250488281,    280.8005828857422,    10.0272855758667,    0.9315000772476196,    2.886750102043152,    1.0566499829292297,    0.75,    35.283664082603345,    25.960508541783042,    d
2025-10-16T12:53:42.000,    44.24930953979492,    16.02898762964954,    16.034199714660645,    290.39862060546875,    730.408203125,    10.027892430623373,    0.9445000489552816,    2.830166737238566,    1.0714166164398193,    1.0,    35.28172758889287,    25.961461729396206,    d
2025-10-16T12:53:43.250,    44.24776840209961,    16.02249465935165,    16.030173778533936,    292.10728454589844,    323.3355255126953,    10.029048442840576,    0.8952500224113464,    2.776250123977661,    1.0622249841690063,    1.25,    35.28603924793909,    25.96627613050282,    d
2025-10-16T12:53:44.500,    44.24812316894531,    16.020783793064766,    16.028199195861816,    292.1608072916667,    435.7613932291667,    10.02878189086914,    0.8548333644866943,    2.763166824976603,    1.0055499871571858,    1.5,    35.287788879987865,    25.968022437253087,    d
2025-10-16T12:53:46.000,    44.25182342529297,    16.02147176116705,    16.029966354370117,    291.7493387858073,    494.63714599609375,    10.029372215270996,    0.843333383401235,    2.767000118891398,    1.0320666631062825,    1.75,    35.29037707646565,    25.969864231991476,    d
2025-10-16T12:53:47.750,    44.25515270233154,    16.022508697526064,    16.031262159347534,    292.67627716064453,    237.2122459411621,    10.028515577316284,    0.9322500377893448,    2.78300017118454,    1.0292874574661255,    2.0,    35.29231729323031,    25.971128174450655,    d
2025-10-16T12:53:49.500,    44.258949279785156,    16.02344126397899,    16.03239917755127,    291.74964396158856,    387.00916544596356,    10.02942689259847,    0.9200000365575155,    2.745000123977661,    1.0395999749501545,    2.25,    35.29476590268235,    25.972807160496586,    d
2025-10-16T12:53:51.000,    44.26049931844076,    16.025998942088336,    16.032833099365234,    291.7810770670573,    243.44090270996094,    10.02855110168457,    0.9673333764076233,    2.7405001322428384,    1.0507833162943523,    2.5,    35.29377838921308,    25.971469206473937,    d
2025-10-16T12:53:53.250,    44.26098505655924,    16.02573984779883,    16.0316162109375,    291.9699961344401,    296.9935989379883,    10.029600779215494,    1.0255000491937,    2.7210001150767007,    1.0403666297594707,    2.75,    35.29433922785087,    25.97196935784109,    d
2025-10-16T12:53:56.000,    44.26433639526367,    16.025807678257117,    16.032809448242187,    292.6001770019531,    397.453173828125,    10.030301094055176,    1.0187000632286072,    2.7070001125335694,    1.0352599620819092,    3.0,    35.2971892269439,    25.974152845026946,    d
