// Creator: RBR Ltd.
// Create time: 2026-01-12T08:45:45
// Instrument model firmware and serialID: RBRmaestro³ 1.148 231853
// Sample period: 0.5 second
// Processing history:
//	/home/epoirier/Documents/Observation/SOMLIT/Somlit_rbr_toolbox/proc_data/rbr_maestro_profile_0_2025-10-14T10-06-15_to_2025-10-14T10-07-31.rsk opened using pyRSKtools v1.1.2.
//	Sea pressure calculated using an atmospheric pressure of 10.1325 dbar.
//	Zero-order hold corrected for channel(s) conductivity, temperature, pressure, temperature1, dissolved_o2_concentration, par, ph, chlorophyll-a, fdom, turbidity, sea_pressure, depth, salinity, speed_of_sound, specific_conductivity, dissolved_o2_saturation. Hold points were treated with interp.
//	Channel temperature aligned using lag(s) -0.045,-0.045 and shiftfill zeroorderhold
//	Depth calculated using the TEOS-10 library and a latitude of 48.35 degrees
//	Profiling velocity calculated from depth, filtered with a windowLength of 3 samples.
//	Practical Salinity derived using TEOS-10 library
//	Potential density anomaly derived using the TEOS-10 library.
//	dissolved_o2_compensated (µmol/L) added to data table by RSK.addchannel().
//	temperature1_compensated (°C) added to data table by RSK.addchannel().
//	Remove loops with the threshold of 0.05 m/s.
//	Binned with respect to depth using [15.625  0.75 ] boundaries with [0.25] m bin size.
// Comment: up CAST

// timestamp(yyyy-mm-ddTHH:MM:ss.FFF),    conductivity(mS/cm),    temperature(°C),    temperature1(°C),    dissolved_o2_concentration(µmol/L),    par(µmol/m²/s),    ph(pH_units),    chlorophyll-a(µg/L),    fdom(ppb),    turbidity(FTU),    depth(m),    salinity(PSU),    density_anomaly(kg/m³),    cast_direction
2025-10-14T10:07:15.000,    44.27378845214844,    16.06193695066031,    16.06719970703125,    293.1519775390625,    111.80611419677734,    9.959884643554688,    2.1545000076293945,    2.8430001735687256,    1.274899959564209,    3.75,    35.27308436365364,    25.947353656409405,    u
2025-10-14T10:06:42.000,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    4.0,    nan,    nan,    u
2025-10-14T10:07:14.500,    44.27396774291992,    16.061728515662253,    16.06694984436035,    291.7832336425781,    100.69237518310547,    9.959897994995117,    2.174499988555908,    2.952500104904175,    1.3434499502182007,    4.25,    35.27328070191924,    25.947566106349086,    u
2025-10-14T10:07:13.750,    44.27401924133301,    16.06127899175044,    16.066499710083008,    291.7767333984375,    96.08669662475586,    9.956045627593994,    2.108750104904175,    2.860750198364258,    1.2474250197410583,    4.5,    35.27363682470319,    25.94795141952875,    u
2025-10-14T10:07:13.000,    44.273616790771484,    16.06095184327569,    16.065898895263672,    291.77130126953125,    89.34153747558594,    9.955422401428223,    2.2755000591278076,    2.9045002460479736,    1.2312999963760376,    4.75,    35.27348340120816,    25.94791641613142,    u
2025-10-14T10:07:12.500,    44.273414611816406,    16.060360412695445,    16.065699577331543,    289.9374694824219,    81.08561706542969,    9.956299781799316,    2.0930001735687256,    2.873500108718872,    1.2438499927520752,    5.0,    35.273651932886985,    25.94819806924579,    u
2025-10-14T10:06:42.000,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    5.25,    nan,    nan,    u
2025-10-14T10:07:12.000,    44.27289962768555,    16.059691772563383,    16.065500259399414,    289.9372253417969,    73.85005187988281,    9.958210945129395,    2.2940001487731934,    2.8650002479553223,    1.3464999198913574,    5.5,    35.27361654806901,    25.94834007685722,    u
2025-10-14T10:07:11.250,    44.27325630187988,    16.05994079587981,    16.064749240875244,    290.8947448730469,    68.87108993530273,    9.956194400787354,    2.111000180244446,    2.8990001678466797,    1.4838999509811401,    5.75,    35.27362262581609,    25.948295778231795,    u
2025-10-14T10:07:10.500,    44.27277374267578,    16.05937561043538,    16.063599586486816,    291.62628173828125,    65.95964813232422,    9.953451156616211,    2.004500150680542,    2.9060001373291016,    1.448099970817566,    6.0,    35.273619004176005,    25.948429788585145,    u
2025-10-14T10:07:10.000,    44.27145767211914,    16.05796539329458,    16.062700271606445,    291.62554931640625,    61.34621047973633,    9.954821586608887,    2.011500120162964,    2.9645001888275146,    1.288599967956543,    6.25,    35.27356913507279,    25.948727365530203,    u
2025-10-14T10:06:42.000,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    6.5,    nan,    nan,    u
2025-10-14T10:07:09.500,    44.26955032348633,    16.05594238312915,    16.0627498626709,    291.15093994140625,    55.348323822021484,    9.95736026763916,    1.9895000457763672,    2.892000198364258,    1.3155499696731567,    6.75,    35.27349449260962,    25.949150532644808,    u
2025-10-14T10:07:08.750,    44.270362854003906,    16.057439117284957,    16.062849521636963,    290.88140869140625,    50.71372032165527,    9.956728458404541,    1.996000051498413,    2.9305001497268677,    1.3298499584197998,    7.0,    35.27274337220634,    25.948242236716965,    u
2025-10-14T10:07:08.000,    44.27187728881836,    16.057150573818944,    16.062999725341797,    290.60601806640625,    48.925636291503906,    9.957992553710938,    2.001000165939331,    2.875500202178955,    1.2437999248504639,    7.25,    35.27429585382639,    25.949507326525918,    u
2025-10-14T10:07:07.500,    44.27191162109375,    16.057181701646186,    16.0627498626709,    290.16754150390625,    46.33737564086914,    9.95737361907959,    1.9940000772476196,    2.880000114440918,    1.2970499992370605,    7.5,    35.27419385566637,    25.949431304997233,    u
2025-10-14T10:06:42.000,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    7.75,    nan,    nan,    u
2025-10-14T10:07:07.000,    44.2725715637207,    16.0580508421408,    16.0625,    290.16876220703125,    41.37818145751953,    9.95635986328125,    1.9640001058578491,    2.8555002212524414,    1.353950023651123,    8.0,    35.27381733545142,    25.94895958227562,    u
2025-10-14T10:06:42.000,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    8.25,    nan,    nan,    u
2025-10-14T10:07:06.250,    44.27191734313965,    16.056884002813604,    16.06197500228882,    290.63665771484375,    36.641258239746094,    9.956934452056885,    1.9747501015663147,    2.898750066757202,    1.248199999332428,    8.5,    35.274055868041444,    25.949430770719914,    u
2025-10-14T10:07:05.500,    44.27155303955078,    16.05637420655694,    16.061699867248535,    291.16294860839844,    34.36981964111328,    9.955744743347168,    1.970000147819519,    2.881500244140625,    1.3035500049591064,    8.75,    35.27407745863526,    25.949574247931423,    u
2025-10-14T10:07:05.000,    44.27158737182617,    16.056310424814,    16.061599731445312,    291.6890563964844,    32.66077423095703,    9.956866264343262,    1.9915001392364502,    2.8940000534057617,    1.3478999137878418,    9.0,    35.27406340822347,    25.94958733974704,    u
